tail,private_from,private_basis,date_utc,airport,airport_name,city,region,country,first_heard_utc,last_heard_utc,first_heard_local,sources
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KBNA,Nashville International Airport,Nashville,US-TN,US,2025-12-16T01:35:53.980000+00:00,2025-12-16T01:41:50.500000+00:00,2025-12-15 19:35,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-16T04:46:56.970000+00:00,2025-12-16T04:49:53.260000+00:00,2025-12-15 21:46,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-16T15:12:33.110000+00:00,2025-12-16T15:17:13.170000+00:00,2025-12-16 08:12,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2025-12-16T16:57:42.470000+00:00,2025-12-16T17:00:43.030000+00:00,2025-12-16 10:57,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KAFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,US-TX,US,2025-12-16T18:08:07.880000+00:00,2025-12-16T19:25:26.150000+00:00,2025-12-16 12:08,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-16,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-16T21:19:30.810000+00:00,2025-12-16T21:22:22.930000+00:00,2025-12-16 14:19,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-18,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-18T00:51:10.810000+00:00,2025-12-18T01:05:38.560000+00:00,2025-12-17 17:51,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-18,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-18T19:51:52.280000+00:00,2025-12-18T20:53:18.440000+00:00,2025-12-18 12:51,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-18,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2025-12-18T22:33:21.300000+00:00,2025-12-18T23:03:09.900000+00:00,2025-12-18 16:33,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-19,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US-AZ,US,2025-12-19T01:02:42.030000+00:00,2025-12-19T03:54:21.060000+00:00,2025-12-18 18:02,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-21,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-21T07:28:11.560000+00:00,2025-12-21T07:31:40.930000+00:00,2025-12-21 00:28,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-21,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-21T20:50:46.860000+00:00,2025-12-21T21:03:50.560000+00:00,2025-12-21 13:50,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-21,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2025-12-21T22:45:40.630000+00:00,2025-12-21T23:25:23.880000+00:00,2025-12-21 16:45,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-22,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-22T01:27:17.290000+00:00,2025-12-22T02:31:35.460000+00:00,2025-12-21 18:27,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-22,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-22T20:17:54.720000+00:00,2025-12-22T20:20:13.270000+00:00,2025-12-22 13:17,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-27,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-27T21:17:33.220000+00:00,2025-12-27T21:25:42.200000+00:00,2025-12-27 14:17,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-28,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-28T02:30:52.060000+00:00,2025-12-28T02:32:13.170000+00:00,2025-12-27 19:30,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-28,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-28T15:01:18.260000+00:00,2025-12-28T15:10:04.680000+00:00,2025-12-28 08:01,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-28,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2025-12-28T16:54:20.260000+00:00,2025-12-28T18:29:25.660000+00:00,2025-12-28 10:54,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2025-12-28,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2025-12-28T23:23:52.420000+00:00,2025-12-28T23:24:46.640000+00:00,2025-12-28 16:23,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-03,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-03T14:28:38.980000+00:00,2026-01-03T14:33:43.450000+00:00,2026-01-03 07:28,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-03,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-03T20:51:52.370000+00:00,2026-01-03T21:34:01.590000+00:00,2026-01-03 13:51,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-04,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2026-01-04T02:10:11.180000+00:00,2026-01-04T02:37:42.860000+00:00,2026-01-03 20:10,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-04,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-04T04:38:44.270000+00:00,2026-01-04T04:39:28.510000+00:00,2026-01-03 21:38,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-05,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-05T11:59:50.800000+00:00,2026-01-05T12:03:41.700000+00:00,2026-01-05 04:59,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-05,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2026-01-05T13:39:28.600000+00:00,2026-01-05T14:54:01.720000+00:00,2026-01-05 07:39,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-07,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2026-01-07T02:36:52.960000+00:00,2026-01-07T03:06:47.130000+00:00,2026-01-06 20:36,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-07,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-07T05:08:08.250000+00:00,2026-01-07T05:13:57.460000+00:00,2026-01-06 22:08,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-09,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-09T18:45:19.290000+00:00,2026-01-09T18:53:22.220000+00:00,2026-01-09 11:45,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-09,KPDK,DeKalb Peachtree Airport,Atlanta,US-GA,US,2026-01-09T22:10:10.580000+00:00,2026-01-09T22:10:40.680000+00:00,2026-01-09 17:10,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-01-10,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-01-10T08:49:21.740000+00:00,2026-01-10T08:55:06.050000+00:00,2026-01-10 01:49,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-05,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-05T17:00:37.780000+00:00,2026-02-05T17:18:58.720000+00:00,2026-02-05 10:00,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-06,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-06T03:07:08.560000+00:00,2026-02-06T03:10:41.360000+00:00,2026-02-05 20:07,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-10,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-10T18:08:15.890000+00:00,2026-02-10T18:24:27.900000+00:00,2026-02-10 11:08,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-10,KHOU,William P. Hobby Airport,Houston,US-TX,US,2026-02-10T23:54:00.160000+00:00,2026-02-10T23:54:07.490000+00:00,2026-02-10 17:54,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-11,KBCT,Boca Raton Airport,Boca Raton,US-FL,US,2026-02-11T02:05:58.240000+00:00,2026-02-11T02:06:36.750000+00:00,2026-02-10 21:05,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-11,KBCT,Boca Raton Airport,Boca Raton,US-FL,US,2026-02-11T15:01:43.200000+00:00,2026-02-11T15:07:06.500000+00:00,2026-02-11 10:01,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-11,KAFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,US-TX,US,2026-02-11T17:53:15.790000+00:00,2026-02-11T18:43:56.930000+00:00,2026-02-11 11:53,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-11,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-11T20:55:02.850000+00:00,2026-02-11T20:56:58.870000+00:00,2026-02-11 13:55,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-13,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-13T15:09:41.330000+00:00,2026-02-13T15:14:35.610000+00:00,2026-02-13 08:09,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-13,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-13T20:50:08.410000+00:00,2026-02-13T20:54:01.060000+00:00,2026-02-13 13:50,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-14,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-14T13:48:55.510000+00:00,2026-02-14T13:58:09.180000+00:00,2026-02-14 06:48,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-14,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-14T19:45:25.250000+00:00,2026-02-14T19:47:11.970000+00:00,2026-02-14 12:45,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-19,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-19T00:41:38.950000+00:00,2026-02-19T00:48:58.210000+00:00,2026-02-18 17:41,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-19,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-02-19T08:35:18.790000+00:00,2026-02-19T08:43:18.100000+00:00,2026-02-19 01:35,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-19,KVNY,Van Nuys Airport,Van Nuys,US-CA,US,2026-02-19T09:51:48.840000+00:00,2026-02-19T10:58:46.740000+00:00,2026-02-19 01:51,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-21,KMMU,Morristown Municipal Airport,Morristown,US-NJ,US,2026-02-21T13:20:15.010000+00:00,2026-02-21T13:20:19.980000+00:00,2026-02-21 08:20,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-26,KPIE,St. Petersburg Clearwater International Airport,Pinellas Park,US-FL,US,2026-02-26T00:37:30.570000+00:00,2026-02-26T00:59:15.680000+00:00,2026-02-25 19:37,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-26,KVNY,Van Nuys Airport,Van Nuys,US-CA,US,2026-02-26T09:28:42.420000+00:00,2026-02-26T09:34:33.400000+00:00,2026-02-26 01:28,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-28,KVNY,Van Nuys Airport,Van Nuys,US-CA,US,2026-02-28T20:26:24.030000+00:00,2026-02-28T20:40:02.080000+00:00,2026-02-28 12:26,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-02-28,KCOE,Coeur D'Alene Airport - Pappy Boyington Field,Coeur d'Alene,US-ID,US,2026-02-28T23:56:15.690000+00:00,2026-02-28T23:59:42.610000+00:00,2026-02-28 16:56,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-02,KCOE,Coeur D'Alene Airport - Pappy Boyington Field,Coeur d'Alene,US-ID,US,2026-03-02T14:21:25.500000+00:00,2026-03-02T14:22:58.510000+00:00,2026-03-02 07:21,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-02,KTTN,Trenton Mercer Airport,Ewing Township,US-NJ,US,2026-03-02T20:46:46.820000+00:00,2026-03-02T20:52:55.460000+00:00,2026-03-02 15:46,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-04,KTTN,Trenton Mercer Airport,Ewing Township,US-NJ,US,2026-03-04T08:50:30.980000+00:00,2026-03-04T08:51:16.450000+00:00,2026-03-04 03:50,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-04,MWCR,Owen Roberts International Airport,George Town,KY-GC,KY,2026-03-04T11:59:54.920000+00:00,2026-03-04T13:01:08.330000+00:00,,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-04,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-03-04T17:37:05.650000+00:00,2026-03-04T17:39:40.740000+00:00,2026-03-04 10:37,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-05,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-03-05T11:30:55.180000+00:00,2026-03-05T11:41:22.590000+00:00,2026-03-05 04:30,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-05,KGYR,Phoenix Goodyear Airport,Goodyear,US-AZ,US,2026-03-05T17:03:07.740000+00:00,2026-03-05T18:04:05.560000+00:00,2026-03-05 10:03,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-07,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-03-07T13:48:18.600000+00:00,2026-03-07T13:51:49.110000+00:00,2026-03-07 06:48,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-08,KCRQ,McClellan-Palomar Airport,Carlsbad,US-CA,US,2026-03-08T02:42:27.910000+00:00,2026-03-08T02:43:41.330000+00:00,2026-03-07 18:42,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-08,KCRQ,McClellan-Palomar Airport,Carlsbad,US-CA,US,2026-03-08T16:49:31.490000+00:00,2026-03-08T17:24:35.460000+00:00,2026-03-08 09:49,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-08,KFAT,Fresno Yosemite International Airport,Fresno,US-CA,US,2026-03-08T18:20:32.960000+00:00,2026-03-08T18:50:15.100000+00:00,2026-03-08 11:20,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-08,KJWN,John C Tune Airport,Nashville,US-TN,US,2026-03-08T22:14:39.990000+00:00,2026-03-08T23:07:46.470000+00:00,2026-03-08 17:14,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-09,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-03-09T02:11:06.470000+00:00,2026-03-09T02:12:27.860000+00:00,2026-03-08 19:11,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-09,KSDL,Scottsdale Airport,Scottsdale,US-AZ,US,2026-03-09T13:56:34.410000+00:00,2026-03-09T13:59:27.150000+00:00,2026-03-09 06:56,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-09,KBAZ,New Braunfels National Airport,New Braunfels,US-TX,US,2026-03-09T15:45:17.760000+00:00,2026-03-09T17:01:12.430000+00:00,2026-03-09 10:45,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-09,MWCR,Owen Roberts International Airport,George Town,KY-GC,KY,2026-03-09T19:30:21.750000+00:00,2026-03-09T21:02:44.430000+00:00,,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-09,KCLT,Charlotte Douglas International Airport,Charlotte,US-NC,US,2026-03-09T23:27:27.090000+00:00,2026-03-10T00:57:10.290000+00:00,2026-03-09 19:27,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-10,KIWA,Mesa Gateway Airport,Mesa,US-AZ,US,2026-03-10T04:53:08.200000+00:00,2026-03-10T04:59:44.420000+00:00,2026-03-09 21:53,airplanes-live
N102DZ,2025-12-02,FAA LADD flag appears between 2025-12-01 and 2026-04-01 (ADS-B Exchange DB); FlightAware block visible 2026-01-14 (Wayback),2026-03-10,KIWA,Mesa Gateway Airport,Mesa,US-AZ,US,2026-03-10T15:24:52.910000+00:00,2026-03-10T15:35:44.020000+00:00,2026-03-10 08:24,airplanes-live
