date_from,date_to,date_certainty,city,state,country,venue,event_title,event_type,erika_role,charlie_present,source_url,source_type,quote
2025-09-11,2025-09-11,EVENT_DATE,Phoenix,AZ,USA,Phoenix Sky Harbor International Airport,Arrival of Air Force Two with casket,travel_public,family escort,no,https://www.cbsnews.com/news/charlie-kirk-flown-air-force-two-arizona/,press,"Second lady Usha Vance stepped off the plane in Phoenix with Kirk's widow, Erika Kirk ... landing shortly before 5 p.m. local time [caption: Phoenix Sky Harbor International Airport on Sept. 11, 2025]; Getty: 'PHOENIX, ARIZONA - SEPTEMBER 11: Vice President JD Vance (R) second lady Usha Vance (C) and Erika Kirk deplane Air Force Two'"
2025-09-12,2025-09-12,EVENT_DATE,Phoenix,AZ,USA,Turning Point USA headquarters,First public address after assassination (livestream),press_statement,speaker,no,https://www.gettyimages.com/search/2/image?phrase=erika%20kirk,press,"PHOENIX, ARIZONA - SEPTEMBER 12: People watch on cell phones as Erika Kirk, widow of Charlie Kirk, speaks at the Turning Point USA headquarters on September 12, 2025 in Phoenix, Arizona. (Photo by Eric Thayer/Getty Images) [RSBN video _DfvqJEqrI8 '9/12/25']"
2025-09-21,2025-09-21,EVENT_DATE,Glendale,AZ,USA,State Farm Stadium,Building a Legacy: Remembering Charlie Kirk (memorial service),memorial,keynote speaker,no,https://www.flickr.com/photos/whitehouse/54802504187,social,"Erika Kirk delivers remarks during the Memorial Service for Charlie Kirk at State Farm Stadium in Glendale, Arizona, Sunday, September 21, 2025.(Official White House Photo by Daniel Torok)"
2025-09-26,2025-09-26,EVENT_DATE,,,USA,UNKNOWN (Charlie Kirk Show studio location not stated),Appearance on The Charlie Kirk Show,media_appearance,guest,no,https://www.deseret.com/the-west/2025/09/26/erika-kirk-appearance-on-the-charlie-kirk-show-friday/,press,She made an appearance on 'The Charlie Kirk Show' on Friday [CITY UNKNOWN; in-person vs remote not stated]
2025-10-14,2025-10-14,EVENT_DATE,Washington,DC,USA,White House Rose Garden,Presidential Medal of Freedom ceremony for Charlie Kirk,white_house,"accepted award, speaker",no,https://www.flickr.com/photos/whitehouse/55407432978,social,"President Donald Trump posthumously awards the Medal of Freedom for Charlie Kirk to his widow Erika Kirk, Tuesday, October 14, 2025, during a ceremony in the Rose Garden of the White House. (Official White House Photo by Daniel Torok)"
2025-10-29,2025-10-29,EVENT_DATE,Oxford,MS,USA,"SJB Pavilion, University of Mississippi",This Is The Turning Point tour - Ole Miss (with VP JD Vance),campus,"speaker, introduced Vance",no,https://www.flickr.com/photos/gageskidmore/54892408822,social,"Erika Kirk speaking with attendees at the University of Mississippi tour stop of the ""This Is The Turning Point"" tour at the SJB Pavilion in Oxford, Mississippi. [Flickr date taken 2025-10-29]; Snopes 2025-11-04: TPUSA spokesperson said 'Erika flew separately' (not on Air Force Two)"
2025-11-05,2025-11-05,PUBLISH_PROXY,Phoenix,AZ,USA,Turning Point USA headquarters,Jesse Watters Primetime sit-down interview (taped before air date),media_appearance,interviewee,no,https://www.12news.com/article/news/nation-world/erika-kirk-fox-news-interview-jesse-watters/507-e02a5f25-f686-4840-97de-b53b2727b31c,press,"Watters joined Erika at Turning Point's headquarters in Phoenix, Arizona, as well as at a 'This is the Turning Point' tour stop at the University of Mississippi [aired Wed 2025-11-05; taping date not stated]"
2025-11-06,2025-11-06,EVENT_DATE,Greenvale,NY,USA,"Tilles Center for the Performing Arts (LIU Post; Fox calls it Brookville, NY)",2025 Fox Nation Patriot Awards - inaugural Charlie Kirk Legacy Award,awards,honoree,no,https://www.gettyimages.com/search/2/image?phrase=erika%20kirk%20patriot%20awards,press,"GREENVALE, NEW YORK - NOVEMBER 06: Erika Kirk accepts the inaugural Charlie Kirk Legacy Award onstage during the 2025 Fox Nation Patriot Awards at Tilles Center for the Performing Arts on November 06, 2025 in Greenvale, New York. (Photo by Roy Rochlin/Getty Images)"
2025-11-10,2025-11-10,EVENT_DATE,Washington,DC,USA,White House Oval Office,Swearing-in of Sergio Gor as U.S. Ambassador to India,white_house,speaker,no,https://www.foxnews.com/politics/erika-kirk-speaks-oval-office-event-swear-sergio-gor-new-us-ambassador-india,press,"Erika Kirk attended an Oval Office ceremony on Monday where she spoke at the swearing-in of Sergio Gor ... Getty: 'WASHINGTON, DC - NOVEMBER 10: U.S. President Donald Trump shakes hands with Erika Kirk ... in the Oval Office of the White House on November 10, 2025'"
2025-11-22,2025-11-22,EVENT_DATE,Glendale,AZ,USA,Desert Diamond Arena,"Megyn Kelly Live tour - final stop, live interview",media_live_event,interviewee,no,https://www.megynkelly.com/2025/11/24/highlights-from-megyn-kelly-interview-with-erika-kirk-on-megyn-kelly-live-tour/,press,"the final stop in Glendale, Arizona, on November 22 ... Desert Diamond Arena for an emotional and wide-ranging conversation"
2025-12-03,2025-12-03,EVENT_DATE,New York,NY,USA,Jazz at Lincoln Center,2025 New York Times DealBook Summit (interview with Andrew Ross Sorkin),conference,interviewee,no,https://www.youtube.com/watch?v=GPPNy_Zz4KU,video,"Getty: 'NEW YORK, NEW YORK - DECEMBER 03: New York Times columnist Andrew Ross Sorkin and C.E.O. and Chair of the Board of Turning Point USA Erika Kirk speak onstage during the 2025 New York Times Dealbook Summit at Jazz at Lincoln Center on December 03, 2025 in New York City.' [NYT YouTube upload 2025-12-03]"
2025-12-06,2025-12-07,MONTH,Palm Beach,FL,USA,Mar-a-Lago,"Turning Point USA Winter Gala ($10,000-a-plate) hosted by Erika Kirk",gala,host,no,https://theblast.com/753142/erika-kirk-under-scrutiny-photos-gala-viral/,press,"Earlier in the week, Erika played host to many TPUSA supporters at an event held at Mar-a-Lago. [The Blast 2025-12-12 / Yahoo 2025-12-13: 'this past weekend']; archived gala.tpusa.com (web.archive.org/web/20251209211706/https://www.gala.tpusa.com/) shows 'RSVP for December 7th'. Exact day not confirmed"
2025-12-08,2025-12-08,EVENT_DATE,New York,NY,USA,Fox News Channel Studios,"Hannity interview (book launch 'Stop, in the Name of God')",media_appearance,interviewee,no,https://www.gettyimages.com/detail/news-photo/erika-kirk-discusses-the-newly-released-book-stop-in-the-news-photo/2250859111,press,"NEW YORK, NEW YORK - DECEMBER 08: Erika Kirk discusses the newly released book ""Stop, In The Name of God: Why Honoring The Sabbath Will Transform Your Life"" on ""Hannity"" at Fox News Channel Studios on December 08, 2025 in New York City. (Photo by Dimitrios Kambouris/Getty Images)"
2025-12-09,2025-12-09,EVENT_DATE,New York,NY,USA,Fox News headquarters,Fox & Friends appearance,media_appearance,guest,no,https://theparisnews.com/ap/entertainment/erika-kirk-appears-on-fox-friends/image_0c06e6a4-dddc-5d40-8f74-1ef0f629d1b2.html,press,"Erika Kirk appeared on 'Fox & Friends' at Fox News headquarters on Tuesday, December 9, 2025, in New York. [AP photo caption as summarized by search; page itself returned HTTP 429 - re-verify caption text]"
2025-12-09,2025-12-09,EVENT_DATE,New York,NY,USA,Fox News studio (city inferred from Fox & Friends same day; not stated for The Five),Guest co-host of The Five,media_appearance,guest co-host,no,https://www.prnewswire.com/news-releases/fox-news-media-to-present-first-interviews-with-erika-kirk-as-she-launches-book-tour-for-late-husband-charlie-kirks-stop-in-the-name-of-god-the-week-of-december-8th-302633381.html,press,"She will also guest co-host The Five (5-6 PM/ET) on Tuesday, December 9th [press release; studio city not stated]"
2025-12-10,2025-12-10,EVENT_DATE,New York,NY,USA,Fox News studio (city not stated in source),Full hour of Outnumbered,media_appearance,guest,no,https://x.com/OutnumberedFNC/status/1998801640078585973,social,"Today on Outnumbered: Erika Kirk [@OutnumberedFNC post; FNC release: 'join the full hour of Outnumbered (12-1 PM/ET) on Wednesday, December 10th'; city not stated]"
2025-12-10,2025-12-10,EVENT_DATE,New York,NY,USA,"CBS News studio, New York (studio not named)",CBS News Presents: A Town Hall with Erika Kirk (taping; aired Dec 13),media_appearance,town hall subject,no,https://x.com/jeremymbarr/status/1996347217309745414/photo/1,social,"The event will be taped in New York City on Dec. 10 and then air on Dec. 13 at 8 p.m. [Jeremy Barr scoop, pre-event]; Newsweek: 'The event, which will be pre-taped at a New York studio' (https://www.newsweek.com/cbs-erika-kirk-bari-weiss-left-right-wing-11187875)"
2025-12-18,2025-12-18,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2025 - Day 1 opening speech,conference,opening speaker / host,no,https://www.flickr.com/photos/gageskidmore/55018012352,social,"Erika Kirk speaking with attendees at the 2025 AmericaFest at the Phoenix Convention Center in Phoenix, Arizona. [Flickr date taken 2025-12-18]; AFP/Getty: 'speaks during Turning Point's annual AmericaFest conference in Phoenix, Arizona on December 18, 2025'"
2025-12-19,2025-12-19,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2025 - Day 2 (Prove Me Wrong event; with Megyn Kelly),conference,speaker,no,https://www.flickr.com/photos/gageskidmore/55020077496,social,"Erika Kirk speaking with attendees at the 2025 AmericaFest at the Phoenix Convention Center in Phoenix, Arizona. [Flickr date taken 2025-12-19; also 'Megyn Kelly & Erika Kirk' 55020681763]; AFP/Getty: 'Erika Kirk listens to ... Mikey McCoy (L) speak at a ""Prove Me Wrong"" event during the second day'"
2025-12-20,2025-12-20,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2025 - Day 3 (Charlie Kirk award to Caleb Chilcutt),conference,speaker / presenter,no,https://www.flickr.com/photos/gageskidmore/55022436444,social,"Erika Kirk speaking with attendees at the 2025 AmericaFest at the Phoenix Convention Center in Phoenix, Arizona. [Flickr date taken 2025-12-20; also 'Erika Kirk & Caleb Chilcutt' 55022179226]"
2025-12-21,2025-12-21,EVENT_DATE,Phoenix,AZ,USA,Phoenix Convention Center,AmericaFest 2025 - final day (Nicki Minaj interview; introduced JD Vance),conference,host / interviewer,no,https://www.flickr.com/photos/gageskidmore/55022493606,social,"Erika Kirk and Nicki Minaj speaking with attendees at the 2025 AmericaFest at the Phoenix Convention Center in Phoenix, Arizona. [Flickr 2025-12-21]; Getty: 'PHOENIX, ARIZONA - DECEMBER 21: Erika Kirk and Nicki Minaj high-five during an interview on the final day ... on December 21, 2025'"
