visit_date,tail,ground_airport,ground_airport_name,ground_airport_city,lat,lon,median_dist_km,ground_points,first_seen_utc,last_seen_utc,sources,n_source_files,bucket,field_mro_on_field,field_is_us_customs_port,field_documented_mundane_reason,bucket_event_slug,bucket_event_date,bucket_event_city,bucket_event_who,bucket_event_airport,bucket_dist_to_event_city_mi,bucket_dist_to_event_airport_mi,bucket_gap_days,nearest_in_time_slug,nearest_in_time_date,nearest_in_time_city,nearest_in_time_gap_days,nearest_in_time_dist_mi,nearest_in_space_slug,nearest_in_space_date,nearest_in_space_city,nearest_in_space_dist_mi,nearest_in_space_gap_days,best_combined_slug,best_combined_date,best_combined_city,best_combined_who,best_combined_attendee_class,best_combined_dist_city_mi,best_combined_dist_airport_mi,best_combined_gap_days,best_combined_score,best_combined_event_airport,same_airport_as_event,in_overlaps_csv,overlaps_csv_ids,status,top5
2023-04-21,SU-BTT,KILG,Wilmington Airport,Wilmington,39.67191,-75.60353,0.8,3,2023-04-21T11:58:55.880000Z,2023-04-21T11:59:08.940000Z,airplanes-live,1,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230423_topeka,2023-04-23,"Topeka, KS",-2,1072.1,20221003_newark,2022-10-03,"Newark, DE",8.2,+200,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,657.9,651.1,-10,9.912,KBNA,no,no,,NEW,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=657.9mi|dist_apt=651.1mi|gap=-10d|score=9.91 || 20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=83.2mi|dist_apt=103.3mi|gap=+31d|score=11.17 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.2mi|dist_apt=808.6mi|gap=-10d|score=11.36 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1072.1mi|dist_apt=1071.3mi|gap=-2d|score=11.39 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=392.1mi|dist_apt=387.2mi|gap=+30d|score=13.92"
2023-05-01,SU-BTU,KBGR,Bangor International Airport,Bangor,44.81985,-68.84128,1.89,177,2023-05-01T17:49:35.070000Z,2023-05-01T18:45:23.570000Z,adsb-lol;adsbexchange-samples;airplanes-live,6,KNOWN_TRANSIT,fuel and handling,yes,MRO+US_CUSTOMS_PORT,,,,,,,,,20230500_nashville,2023-05-01,"Nashville, TN",+0,1116.6,20250925_hanover,2025-09-25,"Hanover, NH",186.2,-878,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,1116.6,1109.7,+0,11.166,KBNA,no,no,,NEW,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=1116.6mi|dist_apt=1109.7mi|gap=+0d|score=11.17 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=1297.8mi|dist_apt=1304.3mi|gap=+0d|score=12.98 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1429.8mi|dist_apt=1430.6mi|gap=+8d|score=16.96 || 20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=413.0mi|dist_apt=392.9mi|gap=+41d|score=17.80 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=793.8mi|dist_apt=789.0mi|gap=+40d|score=21.27"
2023-05-06,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67422,-75.6016,0.65,16,2023-05-06T15:18:28.030000Z,2023-05-06T15:19:25.350000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230500_nashville,2023-05-01,"Nashville, TN",+0,658.0,20221003_newark,2022-10-03,"Newark, DE",8.3,+215,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,658.0,651.2,+0,6.58,KBNA,no,no,,NEW,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=658.0mi|dist_apt=651.2mi|gap=+0d|score=6.58 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.4mi|dist_apt=808.8mi|gap=+0d|score=8.02 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1072.2mi|dist_apt=1071.4mi|gap=+13d|score=15.06 || 20230321_new_brunswick|2023-03-21|New Brunswick,NJ|TPUSA|dist_city=83.0mi|dist_apt=103.1mi|gap=+46d|score=16.16 || 20230322_columbus|2023-03-22|Columbus,OH|Charlie|dist_city=392.2mi|dist_apt=387.3mi|gap=+45d|score=18.92"
2023-05-26,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67348,-75.60111,0.74,4,2023-05-26T16:07:10.100000Z,2023-05-26T16:07:10.530000Z,adsb-lol,2,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230500_nashville,2023-05-01,"Nashville, TN",+0,658.1,20221003_newark,2022-10-03,"Newark, DE",8.3,+235,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,658.1,651.2,+0,6.581,KBNA,no,no,,NEW,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=658.1mi|dist_apt=651.2mi|gap=+0d|score=6.58 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.3mi|dist_apt=808.8mi|gap=+0d|score=8.02 || 20230617_deerfield|2023-06-17|Deerfield,IL|Charlie|dist_city=661.7mi|dist_apt=663.5mi|gap=-22d|score=13.95 || 20230609_grapevine|2023-06-09|Grapevine,TX|Charlie|dist_city=1279.2mi|dist_apt=1278.5mi|gap=-14d|score=17.46 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1072.3mi|dist_apt=1071.4mi|gap=+33d|score=21.72"
2023-05-28,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67043,-75.60371,0.95,32,2023-05-28T11:31:13.820000Z,2023-05-28T11:34:06.170000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230500_nashville,2023-05-01,"Nashville, TN",+0,657.9,20221003_newark,2022-10-03,"Newark, DE",8.2,+237,20230500_nashville,2023-05-01,"Nashville, TN",Charlie,CHARLIE_ONLY,657.9,651.0,+0,6.579,KBNA,no,no,,NEW,"20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=657.9mi|dist_apt=651.0mi|gap=+0d|score=6.58 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.1mi|dist_apt=808.6mi|gap=+0d|score=8.02 || 20230617_deerfield|2023-06-17|Deerfield,IL|Charlie|dist_city=661.7mi|dist_apt=663.5mi|gap=-20d|score=13.28 || 20230609_grapevine|2023-06-09|Grapevine,TX|Charlie|dist_city=1279.0mi|dist_apt=1278.3mi|gap=-12d|score=16.79 || 20230423_topeka|2023-04-23|Topeka,KS|TPUSA|dist_city=1072.1mi|dist_apt=1071.3mi|gap=+35d|score=22.39"
2023-07-17,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67601,-75.60164,0.51,36,2023-07-17T11:43:29.950000Z,2023-07-17T11:45:37.520000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230715_west_palm_beach,2023-07-15,"West Palm Beach, FL",+1,930.6,20221003_newark,2022-10-03,"Newark, DE",8.3,+287,20230715_west_palm_beach,2023-07-15,"West Palm Beach, FL",Charlie,CHARLIE_ONLY,930.6,934.2,+1,9.639,KPBI,no,no,,NEW,"20230715_west_palm_beach|2023-07-15|West Palm Beach,FL|Charlie|dist_city=930.6mi|dist_apt=934.2mi|gap=+1d|score=9.64 || 20230712_west_palm_beach|2023-07-12|West Palm Beach,FL|Charlie|dist_city=930.6mi|dist_apt=934.2mi|gap=+3d|score=10.31 || 20230617_deerfield|2023-06-17|Deerfield,IL|Charlie|dist_city=661.7mi|dist_apt=663.5mi|gap=+28d|score=15.95 || 20230500_nashville|2023-05-01|Nashville,TN|Charlie|dist_city=658.1mi|dist_apt=651.3mi|gap=+47d|score=22.25 || 20230500_tallahassee|2023-05-01|Tallahassee,FL|Charlie|dist_city=802.5mi|dist_apt=808.9mi|gap=+47d|score=23.69"
2023-09-01,T7-ELL,KLAX,Los Angeles International Airport,Los Angeles,33.93539,-118.39007,1.83,162,2023-09-01T14:41:22.200000Z,2023-09-01T19:05:13.940000Z,adsbexchange-samples,2,DISTANT,UNKNOWN,UNKNOWN,NONE_DOCUMENTED,,,,,,,,,20230825_lincoln,2023-08-25,"Lincoln, NE",+7,1279.2,20231109_los_angeles,2023-11-09,"Los Angeles, CA",5.9,-69,20230913_san_diego,2023-09-13,"San Diego, CA",Charlie,CHARLIE_ONLY,106.0,108.1,-12,5.06,KSAN,no,no,,NEW,"20230913_san_diego|2023-09-13|San Diego,CA|Charlie|dist_city=106.0mi|dist_apt=108.1mi|gap=-12d|score=5.06 || 20230919_flagstaff|2023-09-19|Flagstaff,AZ|Charlie|dist_city=394.7mi|dist_apt=391.4mi|gap=-18d|score=9.95 || 20230927_tempe|2023-09-27|Tempe,AZ|Charlie|dist_city=373.3mi|dist_apt=368.6mi|gap=-26d|score=12.40 || 20231002_san_jose|2023-10-02|San Jose,CA|Charlie|dist_city=301.5mi|dist_apt=309.1mi|gap=-31d|score=13.35 || 20230825_lincoln|2023-08-25|Lincoln,NE|Charlie|dist_city=1279.2mi|dist_apt=1275.4mi|gap=+7d|score=15.13"
2023-09-26,SU-BTV,KILG,Wilmington Airport,Wilmington,39.67523,-75.60172,0.56,16,2023-09-26T11:52:31.670000Z,2023-09-26T11:52:55.400000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20230927_tempe,2023-09-27,"Tempe, AZ",-1,2048.6,20221003_newark,2022-10-03,"Newark, DE",8.3,+358,20231012_atlanta,2023-10-12,"Atlanta, GA",TPUSA,TPUSA_NO_KIRK,636.2,642.4,-16,11.696,KATL,no,no,,NEW,"20231012_atlanta|2023-10-12|Atlanta,GA|TPUSA|dist_city=636.2mi|dist_apt=642.4mi|gap=-16d|score=11.70 || 20231025_buffalo|2023-10-25|Buffalo,NY|TPUSA|dist_city=279.3mi|dist_apt=278.0mi|gap=-29d|score=12.46 || 20231010_orlando|2023-10-10|Orlando,FL|Charlie|dist_city=842.6mi|dist_apt=842.4mi|gap=-14d|score=13.09 || 20231019_springfield|2023-10-19|Springfield,MO|Charlie|dist_city=971.0mi|dist_apt=975.2mi|gap=-23d|score=17.38 || 20230927_tempe|2023-09-27|Tempe,AZ|Charlie|dist_city=2048.6mi|dist_apt=2051.3mi|gap=-1d|score=20.82"
2023-10-13,SU-BTU,KILG,Wilmington Airport,Wilmington,39.67341,-75.60164,0.72,4,2023-10-13T16:29:09.230000Z,2023-10-13T16:29:09.280000Z,adsb-lol;airplanes-live,4,KNOWN_TRANSIT,none of note,yes - well-established East Coast customs and fuel stop,US_CUSTOMS_PORT,,,,,,,,,20231012_atlanta,2023-10-12,"Atlanta, GA",+1,636.2,20221003_newark,2022-10-03,"Newark, DE",8.3,+375,20231012_atlanta,2023-10-12,"Atlanta, GA",TPUSA,TPUSA_NO_KIRK,636.2,642.3,+1,6.695,KATL,no,no,,NEW,"20231012_atlanta|2023-10-12|Atlanta,GA|TPUSA|dist_city=636.2mi|dist_apt=642.3mi|gap=+1d|score=6.70 || 20231025_buffalo|2023-10-25|Buffalo,NY|TPUSA|dist_city=279.4mi|dist_apt=278.1mi|gap=-12d|score=6.79 || 20231010_orlando|2023-10-10|Orlando,FL|Charlie|dist_city=842.4mi|dist_apt=842.3mi|gap=+3d|score=9.42 || 20231019_springfield|2023-10-19|Springfield,MO|Charlie|dist_city=971.0mi|dist_apt=975.2mi|gap=-6d|score=11.71 || 20231018_san_antonio|2023-10-18|San Antonio,TX|Charlie|dist_city=1476.6mi|dist_apt=1471.1mi|gap=-5d|score=16.43"
2024-02-09,SU-BTT,KLNK,Lincoln Airport,Lincoln,40.85203,-96.75084,1.22,1,2024-02-09T18:39:38.690000Z,2024-02-09T18:39:38.690000Z,airplanes-live,1,DISTANT,Duncan Aviation HEADQUARTERS and main plant - one of the largest privately-owned business-aviation MRO facilities in the world,limited - customs facilities are limited; Omaha handles the entry,MRO+LIMITED_CUSTOMS,,,,,,,,,20240129_las_vegas,2024-01-29,"Las Vegas, NV",+5,1047.8,20230825_lincoln,2023-08-25,"Lincoln, NE",4.9,+168,20240129_las_vegas,2024-01-29,"Las Vegas, NV",Charlie,CHARLIE_ONLY,1047.8,1046.2,+5,12.144,KLAS,no,yes,OWENS-020,KNOWN,"20240129_las_vegas|2024-01-29|Las Vegas,NV|Charlie|dist_city=1047.8mi|dist_apt=1046.2mi|gap=+5d|score=12.14 || 20240306_chapel_hill|2024-03-06|Chapel Hill,NC|TPUSA|dist_city=1015.4mi|dist_apt=1029.8mi|gap=-26d|score=18.82 || 20240403_lawrence|2024-04-03|Lawrence,KS|Charlie|dist_city=152.6mi|dist_apt=150.9mi|gap=-54d|score=19.53 || 20240409_omaha|2024-04-09|Omaha,NE|Charlie|dist_city=46.1mi|dist_apt=54.4mi|gap=-60d|score=20.46 || 20240327_lubbock|2024-03-27|Lubbock,TX|Charlie|dist_city=577.4mi|dist_apt=569.4mi|gap=-47d|score=21.44"
