airport_code,iata,airport_name,city,state,country,metro_area,airport_class,role_in_case,is_us_customs_port,military_colocation,mro_on_field,runway_longest_ft,following_plane_stays,following_plane_tails,following_plane_first,following_plane_last,following_plane_days_on_ground,kirk_tpusa_events,kirk_events_charlie,kirk_events_charlie_and_erika,kirk_events_erika_only,kirk_events_tpusa_no_kirk,surviving_pairings,overlap_claims,overlap_audited_accurate,overlap_audited_partial,overlap_audited_inaccurate,overlap_untested,how_unusual_foreign_state_jet,innocent_explanation,site_page,notes
KDTW,DTW,Detroit Metropolitan Wayne County Airport,Romulus,MI,USA,Detroit MI,major international hub,foreign_plane_stop_and_kirk_event_airport,yes - full US customs port of entry,none on field,none of note,"12,000",2,SU-BTV,2025-02-03,2025-03-30,0,1,1,0,0,0,0,0,0,0,0,0,NOT UNUSUAL AT ALL. A major hub is exactly where a foreign state aircraft is expected to clear customs. Detroit is the counter-example that shows the fleet did NOT always avoid big airports.,Ordinary customs entry. The onward hop to Lincoln (1:46) or Wichita (1:55) is the maintenance leg.,site/docs/Planes/following/Detroit_KDTW_2025-02-03_to_2025-03-30.mdx,
KXWA,XWA,Williston Basin International Airport,Williston,ND,USA,Williston ND,"small commercial service, International designation",foreign_plane_stop,yes - International designation makes it eligible as a first point of landing from abroad,none on field,none of note,"7,500",1,SU-BTT,2024-04-23,2024-04-23,0,0,0,0,0,0,0,0,0,0,0,0,"UNUSUAL AS A CHOICE. Opened October 2019 to replace Sloulin Field (ISN), built for the Bakken shale boom and able to take larger aircraft than its predecessor. One logged use only: SU-BTT, 23 Apr 2024, en route to Provo.","Same as Minot - a legal, short customs entry on the northern route. The tracker index for this row reads 'Williston code XWA', which is where the ISN/XWA identifier confusion comes from.",site/docs/Planes/following/Williston_KXWA_2024-04-23_to_2024-04-23.mdx,
KORD,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,Chicago IL,major international hub,kirk_tpusa_event_airport,yes,none,UNKNOWN,"13,000",0,,,,0,1,1,0,0,0,0,2,0,0,1,1,"Claimed-only location (OWENS-002, OWENS-044). OWENS-002 audited inaccurate - aircraft in France. OWENS-044 falls in an archive gap and is untestable.",-,,
KSUS,SUS,Spirit of St. Louis Airport,Chesterfield,MO,USA,St. Louis metro,general aviation reliever,claimed_overlap_only_no_logged_leg,limited,none on field,several bizjet FBOs,"7,500",0,,,,0,0,0,0,0,0,0,2,1,1,0,0,MODERATELY UNUSUAL. Appears in one overlap claim (OWENS-046) audited PARTIAL. Third St. Louis-area field in the record - a further source of visit double-counting.,The metro's main corporate-aviation reliever.,site/docs/Planes/following/StLouis_KSTL_2022-12-20_to_2025-02-23.mdx,
KATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,Atlanta GA,major international hub,kirk_tpusa_event_airport,yes,none,UNKNOWN,"12,400",0,,,,0,2,1,0,0,1,0,1,0,0,1,0,"Claimed-only location (OWENS-008), audited inaccurate.",-,,
KBGR,BGR,Bangor International Airport,Bangor,ME,USA,Bangor ME,international; classic transatlantic technical stop,claimed_overlap_only_no_logged_leg,yes,"Maine Air National Guard, 101st Air Refueling Wing on field",fuel and handling,"11,400",0,,,,0,0,0,0,0,0,0,1,1,0,0,0,"NOT UNUSUAL - Bangor is the standard US-side North Atlantic fuel and customs stop, the domestic twin of Goose Bay. OWENS-007 is audited ACCURATE as a flight, but no Kirk-side location was ever published for it.",Transatlantic fuel/customs stop.,,
KBOS,BOS,Boston Logan International Airport,Boston,MA,USA,Boston MA,major international hub,claimed_overlap_only_no_logged_leg,yes,none,UNKNOWN,"10,100",0,,,,0,0,0,0,0,0,0,1,0,0,1,0,"Claimed-only location (OWENS-003), audited inaccurate - aircraft in France.",-,,
KJFK,JFK,John F. Kennedy International Airport,New York,NY,USA,New York-Newark NY/NJ,major international hub,claimed_overlap_only_no_logged_leg,yes,none,UNKNOWN,"14,500",0,,,,0,0,0,0,0,0,0,1,0,0,1,0,"Claimed-only location (OWENS-001). The audit found the aircraft was in FRANCE 25 Sep - 10 Nov 2022, so this row does not stand.",-,,
KSMF,SMF,Sacramento International Airport,Sacramento,CA,USA,Sacramento CA,major international,kirk_tpusa_event_airport,yes,none,UNKNOWN,"8,600",0,,,,0,1,1,0,0,0,0,1,0,0,1,0,"Claimed-only location (OWENS-019), audited inaccurate.",-,,
KTOP,TOP,Philip Billard Municipal Airport,Topeka,KS,USA,UNKNOWN,municipal general aviation,claimed_overlap_only_no_logged_leg,UNKNOWN,"Kansas Air National Guard historically at Forbes Field (KFOE), a DIFFERENT Topeka airport",UNKNOWN,"5,100",0,,,,0,0,0,0,0,0,0,1,0,0,0,1,"IDENTIFIER CONFLICT WORTH RECORDING: overlaps.csv carries the Topeka claim (EXTRA-003) against KTOP (Philip Billard Municipal), while the larger Topeka field is KFOE (Topeka Regional / Forbes Field). Which field the tracker meant is not stated in any source.",No following-plane leg is logged at either Topeka field. The claim is an event-side row only.,,
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,Albuquerque NM,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KAHN,AHN,Athens Ben Epps Airport,Athens,GA,USA,Athens GA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KAUO,AUO,Auburn University Regional,Auburn,AL,USA,Auburn AL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KAUS,AUS,Austin-Bergstrom International,Austin,TX,USA,Austin TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBCB,BCB,Virginia Tech Montgomery Executive,Blacksburg,VA,USA,Blacksburg VA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBJC,BJC,Rocky Mountain Metropolitan,Boulder,CO,USA,Denver-Front Range CO,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,2,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBMG,BMG,Monroe County Airport,Bloomington,IN,USA,Bloomington IN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBMI,BMI,Central Illinois Regional,Normal,IL,USA,Bloomington-Normal IL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBNA,BNA,Nashville International,Nashville,TN,USA,Nashville TN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBTR,BTR,Baton Rouge Metropolitan,Baton Rouge,LA,USA,Baton Rouge LA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,0,0,0,2,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBUF,BUF,Buffalo Niagara International,Buffalo,NY,USA,Buffalo NY,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KBZN,BZN,Bozeman Yellowstone International,Bozeman,MT,USA,Bozeman MT,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCLL,CLL,Easterwood Airport,College Station,TX,USA,College Station TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCLT,CLT,Charlotte Douglas International,Charlotte,NC,USA,Charlotte NC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCMH,CMH,John Glenn Columbus International,Columbus,OH,USA,Columbus OH,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCMI,CMI,University of Illinois Willard,Urbana,IL,USA,Champaign-Urbana IL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCOS,COS,City of Colorado Springs Municipal,Colorado Springs,CO,USA,Colorado Springs CO,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,1,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCRE,CRE,Grand Strand Airport,North Myrtle Beach,SC,USA,Myrtle Beach SC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KCVO,CVO,Corvallis Municipal,Corvallis,OR,USA,Corvallis OR,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KDAL,DAL,Dallas Love Field,Dallas,TX,USA,Dallas-Fort Worth TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KDCA,DCA,Ronald Reagan Washington National,Washington,DC,USA,Washington DC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KDFW,DFW,Dallas/Fort Worth International,Grapevine,TX,USA,Dallas-Fort Worth TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,3,2,1,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KDPA,DPA,DuPage Airport,St. Charles,IL,USA,Chicago IL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KDTO,DTO,Denton Enterprise Airport,Denton,TX,USA,Dallas-Fort Worth TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KEWR,EWR,Newark Liberty International,New Brunswick,NJ,USA,New York-Newark NY/NJ,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KFAR,FAR,Hector International,Fargo,ND,USA,Fargo ND,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KFLG,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,Flagstaff AZ,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,2,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KFNL,FNL,Northern Colorado Regional,Fort Collins,CO,USA,Denver-Front Range CO,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KFOE,FOE,Topeka Regional Airport (Forbes Field),Topeka,KS,USA,Topeka KS,commercial service / joint civil-military,kirk_tpusa_event_airport,UNKNOWN,"Kansas Air National Guard, 190th Air Refueling Wing",UNKNOWN,"12,800",0,,,,0,1,0,0,0,1,0,0,0,0,0,0,The larger of the two Topeka fields and the one a bizjet would normally use. See KTOP for the identifier conflict.,No following-plane leg is logged here.,,
KFTW,FTW,Fort Worth Meacham International,Fort Worth,TX,USA,Dallas-Fort Worth TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KFUL,FUL,Fullerton Municipal,Fullerton,CA,USA,Los Angeles CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,2,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KGEU,GEU,Glendale Municipal Airport,Glendale,AZ,USA,Phoenix AZ,municipal general aviation,kirk_tpusa_event_airport,UNKNOWN,Luke AFB ~8 mi west,UNKNOWN,"7,150",0,,,,0,1,0,0,1,0,0,0,0,0,0,0,"Kirk-event airport only (State Farm Stadium memorial, 21 Sep 2025 - the single Erika-only event row in this file). No following-plane leg is logged here.",-,,
KGFK,GFK,Grand Forks International,Grand Forks,ND,USA,Grand Forks ND,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KGNV,GNV,Gainesville Regional,Gainesville,FL,USA,Gainesville FL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
