dates,who,city,state,country,title,university_or_venue,time,event_type,date_certainty,source,source_url,notes,mdx_page
2022-05-19,Charlie,UNKNOWN,,USA,Debate Night vs Briahna Joy Gray,TPUSA Debate Night (streamed),18:00 ET / 15:00 PT,debate,EVENT_DATE,Rumble promo Thursday 5/19 at 6pm EST,https://rumble.com/v157hnh-debate-night-is-back-thursday-519-at-6pm-est.html,"Broadcast date May 19, 2022. City never stated (streamed). Podcast 2022-05-21 is PROXY of this same debate.",site/docs/Planes/following/speaking/20220519_tpusa_debate_night.mdx
2022-05-21,Charlie,UNKNOWN,,USA,Charlie Kirk vs Briahna Joy Gray - Debate Night by Turning Point USA,TPUSA Debate Night,,debate,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,TPUSA-organised Debate Night. Venue city never stated in any sourced record. Podcast date is a PROXY.,site/docs/Planes/following/speaking/20220521_tpusa_debate_night.mdx
2022-06-02 to 2022-06-04,Charlie,Grapevine,TX,USA,Young Women's Leadership Summit 2022,"Gaylord Texan Resort & Convention Center, Grapevine, TX",,summit,EVENT_DATE,"TPUSA YWLS Day 1 YouTube 3 June 2022; @charliekirk11 2 June 2022 ('2,500+ … in Dallas')",https://www.youtube.com/watch?v=Lz5iJ5EvBzE,"EVENT DATES June 2-4, 2022 at the Gaylord Texan (Dallas suburb Grapevine). Kirk said Dallas; the resort is in Grapevine. Speakers billed: Candace Owens, Kayleigh McEnany, Lara Trump, Kristi Noem, Matt Walsh.",site/docs/Planes/following/speaking/20220602_grapevine.mdx
2022-07-05,Charlie,UNKNOWN,,USA,Charlie Kirk Debates Ben Carollo - Debate Night by TPUSA,TPUSA Debate Night,,debate,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,TPUSA-organised Debate Night. Venue city never stated. Podcast date is a PROXY.,site/docs/Planes/following/speaking/20220705_tpusa_debate_night.mdx
2022-07-22 to 2022-07-24,Charlie,Tampa,FL,USA,TPUSA Student Action Summit 2022,Tampa Convention Center,,summit,EVENT_DATE,The Atlas Society event listing; Reuters caption 22 July 2022; Prime Video SAS 2022,https://www.atlassociety.org/events/turning-point-usas-annual-student-action-summit,"EVENT DATES July 22-24, 2022, Tampa. Trump addressed the summit (WTSP). Charlie's opening-speech podcast dropped 2022-07-25; a second SAS episode 2022-08-06 is the same multi-day event, not a second summit.",site/docs/Planes/following/speaking/20220722_tampa.mdx
2022-08-10 to 2022-08-12,Charlie,San Diego,CA,USA,TPUSA Faith first annual Pastors Summit,"Loews Coronado Bay Resort, Coronado / San Diego",,faith,EVENT_DATE,@tpusafaith 16 June 2022; Religion News Service 9 June 2023 recap,https://x.com/tpusafaith/status/1537555647025369090,"EVENT DATES Aug 10-12, 2022. First TPUSA Faith Pastors Summit. Charlie and Pastor Rob McCoy spoke. Replaces the 2022-08-29 UNKNOWN-city podcast-proxy Faith row.",site/docs/Planes/following/speaking/20220810_san_diego.mdx
2022-08-14,Charlie,Phoenix,AZ,USA,Turning Point Action Unite and Win Rally,"Arizona Financial Theatre, Phoenix",,rally,EVENT_DATE,Arizona Republic photo gallery 15 Aug 2022,https://www.delawareonline.com/picture-gallery/news/politics/elections/2022/08/15/photos-blake-masters-kari-lake-ron-desantis-phoenix-rally/10327597002/,"EVENT DATE Aug 14, 2022. TP Action, not a campus tour. On stage: Kirk, Ron DeSantis, Kari Lake, Blake Masters. Replaces the 2022-08-29 UNKNOWN-city podcast-proxy rally row.",site/docs/Planes/following/speaking/20220814_phoenix.mdx
2022-09-16 to 2022-09-17,Charlie,Phoenix,AZ,USA,Defeating the Great Reset,"Arizona Grand Resort, 8000 Arizona Grand Pkwy, Phoenix",,conference,EVENT_DATE,TPUSA; Breitbart; The Thinking Conservative,https://www.thethinkingconservative.com/watch-defeating-the-great-reset/,"EVENT DATES Sept 16-17, 2022. Constitution Day weekend. Bannon, James Lindsay, Posobiec, Rob McCoy among billed speakers.",site/docs/Planes/following/speaking/20220916_phoenix.mdx
2022-10-03,TPUSA,Newark,DE,USA,Live Free Tour — University of Delaware (Candace Owens),University of Delaware,18:00–20:45 EDT; doors 18:00,campus,EVENT_DATE,UD events listing; TPUSA Live Free 2022 press list,https://events.udel.edu/event/live_free_tour_featuring_candace_owens,"EVENT DATE Oct 3, 2022. Speaker of record is Candace Owens, not Charlie Kirk. Delaware is a clustering-claim state. Do not treat as a Charlie location.",site/docs/Planes/following/speaking/20221003_newark.mdx
2022-10-10,Charlie,Phoenix,AZ,USA,Live Free Tour — Grand Canyon University,"Antelope Gymnasium, Grand Canyon University",19:00 local,campus,EVENT_DATE,GCU News,https://news.gcu.edu/event/charlie-kirk-speaking/,"EVENT DATE Oct 10, 2022. Extra stop vs the original eight-campus press list. FSU News: Kirk headlined GCU, UT, and UMKC before FSU.",site/docs/Planes/following/speaking/20221010_phoenix.mdx
2022-10-12,Charlie,Austin,TX,USA,Live Free Tour — University of Texas at Austin,"Etter-Harbin Alumni Center, University of Texas at Austin",,campus,EVENT_DATE,The Daily Texan 18 Oct 2022; TPUSA Live Free 2022 press release,https://thedailytexan.com/2022/10/18/charlie-kirk-visits-ut-during-conservative-live-free-tour/,"EVENT DATE Oct 12, 2022. Daily Texan photographed Kirk at Etter-Harbin Alumni Center. Replaces the 2022-10-30 podcast-proxy UT Austin row.",site/docs/Planes/following/speaking/20221012_austin.mdx
2022-10-13,TPUSA,East Lansing,MI,USA,Live Free Tour — Michigan State University (Candace Owens),"North Business Building N130, Michigan State University",19:00 ET; doors 18:00,campus,EVENT_DATE,events2022.tpusa.com; Lansing State Journal,https://events2022.tpusa.com/events/live-free-tour-at-michigan-state-university,"EVENT DATE Oct 13, 2022. Speaker of record is Candace Owens, not Charlie Kirk. Kirk returned to MSU himself on 2025-04-11.",site/docs/Planes/following/speaking/20221013_east_lansing.mdx
2022-10-17,TPUSA,Fargo,ND,USA,Live Free Tour — North Dakota State University (Candace Owens),"NDSU Memorial Union, Oceti Sakowin Ballroom",19:00 CT; doors 18:00,campus,EVENT_DATE,events2022.tpusa.com; InForum (~800 + overflow),https://events2022.tpusa.com/events/live-free-tour-at-north-dakota-state-university,"EVENT DATE Oct 17, 2022. Speaker of record is Candace Owens, not Charlie Kirk.",site/docs/Planes/following/speaking/20221017_fargo.mdx
2022-10-18,Charlie,Kansas City,MO,USA,Live Free Tour — University of Missouri-Kansas City,University of Missouri-Kansas City,,campus,EVENT_DATE,TPUSA Live Free Tour press release 31 Aug 2022,https://tpusa.com/wp-content/uploads/2025/04/Press-Release-TPUSA-Tour-2022-Live-Free-2.pdf,EVENT DATE from TPUSA press list. MISSOURI is one of the five clustering-claim states.,site/docs/Planes/following/speaking/20221018_kansas_city.mdx
2022-10-20,Charlie,Tallahassee,FL,USA,Live Free Tour — Florida State University,Florida State University,,campus,EVENT_DATE,FSView/Florida State News 6 Nov 2022; TPUSA press list,https://www.fsunews.com/story/news/2022/11/06/charlie-kirk-speaks-fsu-again-protests-follow/10627627002/,"EVENT DATE Oct 20, 2022, seventh Live Free stop. FSU News: Kirk, Candace Owens and Jack Posobiec alternated hosting the tour. Replaces the 2022-10-23 podcast-proxy FSU row. Kirk returned to FSU on 2025-02-28.",site/docs/Planes/following/speaking/20221020_tallahassee.mdx
2022-10-25,Charlie,Charlotte,NC,USA,Live Free Tour — UNC Charlotte (last college stop of this tour),"Popp Martin Student Union, UNC Charlotte, 8845 Craver Rd",19:00–21:00 EST,campus,EVENT_DATE,events2022.tpusa.com; Niner Times,https://events2022.tpusa.com/events/live-free-tour-at-the-university-of-north-carolina-charlotte,"EVENT DATE Oct 25, 2022. Last college stop of the original Live Free list. Podcast 2022-11-27 is PROXY.",site/docs/Planes/following/speaking/20221025_charlotte.mdx
2022-11-30,Charlie,Albuquerque,NM,USA,Live Free / campus speech — University of New Mexico,University of New Mexico,19:00 local,campus,EVENT_DATE,@charliekirk11 29 Nov 2022 ('7PM TOMORROW') and 30 Nov 2022; Breitbart 1 Dec 2022,https://x.com/charliekirk11/status/1597711288112918533,"EVENT DATE Nov 30, 2022. Not on the original eight-campus press list. After disrupted Tomi Lahren and Ian Haworth UNM events. Protests, police, arrests.",site/docs/Planes/following/speaking/20221130_albuquerque.mdx
2022-12-17 to 2022-12-20,Charlie,Phoenix,AZ,USA,AmericaFest 2022,Phoenix Convention Center,,summit,EVENT_DATE,"Wikipedia AmericaFest; POLITICO 18 Dec 2022 (11,000 attendees)",https://en.wikipedia.org/wiki/AmericaFest,"EVENT DATES Dec 17-20, 2022, Phoenix Convention Center. Speakers included Tucker Carlson, Donald Trump Jr., Steve Bannon, Candace Owens, Kari Lake, Matt Gaetz. city CONFIRMED (not inferred).",site/docs/Planes/following/speaking/20221217_phoenix.mdx
2023-02-08,Charlie,Tempe,AZ,USA,"Health, Wealth and Happiness — ASU Gammage",ASU Gammage Auditorium (T.W. Lewis Center / Barrett Honors College),evening,campus,EVENT_DATE,Arizona Republic 9 Feb 2023,https://www.azcentral.com/story/news/politics/arizona/2023/02/09/charlie-kirk-speech-at-asu-draws-protest-from-students-faculty/69887168007/,"EVENT DATE Feb 8, 2023. With Dennis Prager and Robert Kiyosaki. Faculty protest. Podcast 2023-02-12 is PROXY. Kirk returned to ASU on 2023-09-27.",site/docs/Planes/following/speaking/20230208_tempe.mdx
2023-03-01,Charlie,Santa Barbara,CA,USA,Live Free Tour — UC Santa Barbara,"University of California, Santa Barbara",,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release 24 Jan 2023,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 1, 2023. Replaces the 2023-03-05 podcast-proxy UCSB row. Candace Owens also appeared on this tour; Jobob opened stops.",site/docs/Planes/following/speaking/20230301_santa_barbara.mdx
2023-03-08,Charlie,Lexington,KY,USA,Live Free Tour — University of Kentucky,University of Kentucky,,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 8, 2023. Replaces the 2023-03-12 podcast-proxy UK row.",site/docs/Planes/following/speaking/20230308_lexington.mdx
2023-03-09,Charlie,Chicago,IL,USA,Live Free Tour — University of Illinois Chicago,University of Illinois Chicago,,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 9, 2023 from the press list. The 2023-04-15 podcast 'My Speech LIVE at University of Illinois-Chicago' is treated as a delayed release of this stop unless a second UIC visit is sourced.",site/docs/Planes/following/speaking/20230309_chicago.mdx
2023-03-14,Charlie,Davis,CA,USA,Live Free Tour — UC Davis,"University of California, Davis",,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 14, 2023.",site/docs/Planes/following/speaking/20230314_davis.mdx
2023-03-21,TPUSA,Baton Rouge,LA,USA,Live Free Tour — LSU (announced; Kirk unconfirmed),Louisiana State University,,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"ANNOUNCED March 21, 2023 on the press list. Kirk was at Ohio State the next night; his LSU campus appearance is unconfirmed. Do not treat as a Charlie location. TPUSA returned to LSU on 2025-10-27 after his death.",site/docs/Planes/following/speaking/20230321_baton_rouge.mdx
2023-03-21,TPUSA,New Brunswick,NJ,USA,Live Free Tour — Rutgers University (Candace Owens),Rutgers University,,campus,EVENT_DATE,"TPUSA vlog ('Candace Owens spoke on March 21st, 2023')",https://www.youtube.com/watch?v=jYRFBWfKOok,"EVENT DATE March 21, 2023. Speaker of record is Candace Owens. Press PDF listed March 20. Kirk not confirmed at this stop.",site/docs/Planes/following/speaking/20230321_new_brunswick.mdx
2023-03-22,Charlie,Columbus,OH,USA,Live Free Tour — Ohio State University with Candace Owens,Ohio State University,,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release; podcast 2023-03-25,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 22, 2023. Candace Owens appeared with him. Replaces the 2023-03-25 podcast-proxy OSU row.",site/docs/Planes/following/speaking/20230322_columbus.mdx
2023-03-27,Charlie,Fort Worth,TX,USA,Live Free Tour — Texas Christian University,Texas Christian University,,campus,EVENT_DATE,TPUSA Spring 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/01/Press-Release-TPUSA-Tour-Spring-2023-Live-Free.pdf,"EVENT DATE March 27, 2023. Replaces the 2023-04-01 podcast-proxy TCU row.",site/docs/Planes/following/speaking/20230327_fort_worth.mdx
2023-04-02,TPUSA,Jefferson City,MO,USA,"TPUSA Faith tour launch — Sean Feucht, Jefferson City","Jefferson City, Missouri (TPUSA Faith / Sean Feucht)",,faith,EVENT_DATE,Planes/following/overview.mdx chronological view (researcher-compiled timeline; two hours from St. Louis),/Planes/following/overview,"EVENT DATE April 2, 2023. TPUSA Faith kickoff with Sean Feucht. MISSOURI clustering-claim state. SU-BTT was in the St. Louis area around April 1. The following overview flags the two-hour drive rather than treating Jefferson City as the same airport. Charlie Kirk is not named as the speaker on this row.",site/docs/Planes/following/speaking/20230402_jefferson_city.mdx
2023-04-23,TPUSA,Topeka,KS,USA,TPUSA Faith Kingdom to the Capitol — Topeka,"Topeka, Kansas (TPUSA Faith)",,faith,EVENT_DATE,Planes/following/overview.mdx chronological view (researcher-compiled timeline),/Planes/following/overview,"EVENT DATE April 23, 2023. KANSAS clustering-claim state. SU-BTT reached Wichita April 14 and had departed three days before this event per the following overview. Charlie Kirk is not named as the speaker on this row.",site/docs/Planes/following/speaking/20230423_topeka.mdx
2023-05 (month),Charlie,Nashville,TN,USA,TPUSA Faith Pastors Summit — Nashville,"Nashville, Tennessee (venue not named in ChurchLeaders recap)",,faith,EVENT_DATE,"ChurchLeaders 15 Sep 2023 ('The first was held in Nashville, Tennessee, in May')",https://churchleaders.com/news/458865-charlie-kirk-tpusa-faith-excommunicate-wokeism.html,First of two 2023 Pastors Summits. Day of month not stated. James Lindsay appeared on-stage with Charlie; podcasts 2023-05-30 and 2023-06-04 are delayed releases from this summit. Replaces the UNKNOWN-city 2023-05-30 row.,site/docs/Planes/following/speaking/20230500_nashville.mdx
2023-05 (month),Charlie,Tallahassee,FL,USA,Live Free Tour — Florida State University (May 2023 return),Florida State University,,campus,EVENT_DATE,USA TODAY Network-Florida 21 Feb 2025 ('He last visited FSU in May 2023 as part of his Live Free Tour'),https://www.sctimes.com/story/news/local/2025/02/21/conservative-icon-charlie-kirk-of-turning-point-usa-coming-to-fsu/79330709007/,"Day of month not stated. Separate from the Oct 20, 2022 FSU Live Free stop.",site/docs/Planes/following/speaking/20230500_tallahassee.mdx
2023-06-09 to 2023-06-11,Charlie,Grapevine,TX,USA,Young Women's Leadership Summit 2023,"Gaylord Texan Resort, Grapevine, TX",,summit,EVENT_DATE,TPUSA ywls23 page; Dallas Observer 12 June 2023; live podcast 2023-06-09 from YWLS,https://backend.tpusa.com/ywls23/,"EVENT DATES June 9-11, 2023, Gaylord Texan. Charlie, Candace Owens, Marjorie Taylor Greene, Kari Lake spoke. Dallas Observer covered the weekend. Replaces the UNKNOWN-city 2023-06-25 podcast-proxy YWLS row.",site/docs/Planes/following/speaking/20230609_grapevine.mdx
2023-06-17 to 2023-06-19,Charlie,Deerfield,IL,USA,Turning Point Academy Educators' Summit 2023,"Deerfield, Illinois (Turning Point Education)",,summit,EVENT_DATE,turningpointed.com; Chicago Tribune; TPUSA X 15 May 2023,https://www.turningpointed.com/educators-summit-2023,"EVENT DATES June 17-19, 2023, Deerfield IL. Second Educators' Summit. Podcast 2023-07-02 is PROXY. IFI listed June 15-17; Turning Point Education's own page is preferred.",site/docs/Planes/following/speaking/20230617_deerfield.mdx
2023-07-12 to 2023-07-14,Charlie,West Palm Beach,FL,USA,Chapter Leadership Summit 2023 + SAS Experience,"Palm Beach Convention Center, West Palm Beach",,summit,EVENT_DATE,@TPUSA 4 Apr 2023; Palm Beach Convention Center listing July 12-16,https://x.com/TPUSA/status/1643327675577286656,"EVENT DATES July 12-14, 2023 CLS. SAS 2023 as a Tampa summit DID NOT HAPPEN. Kirk said ACTCON 2023 was the SAS substitute. Charlie's 'Reject Their Terms — LIVE from CLS in Florida' podcast 2023-07-16 is this event.",site/docs/Planes/following/speaking/20230712_west_palm_beach.mdx
2023-07-15 to 2023-07-16,Charlie,West Palm Beach,FL,USA,Turning Point Action Conference (ACTCON 2023) — SAS substitute,Palm Beach County Convention Center,,summit,EVENT_DATE,NYT 16 July 2023; Kirk 11 May 2023 ('ACTCON 2023 will serve as our SAS substitute'),https://www.nytimes.com/2023/07/16/us/politics/trump-turning-point-desantis.html,"EVENT DATES July 15-16, 2023. Trump, Tucker, Megyn Kelly, Don Jr., Ramaswamy. ~6,000. This is why there is no SAS 2023 Tampa row.",site/docs/Planes/following/speaking/20230715_west_palm_beach.mdx
2023-08-25,Charlie,Lincoln,NE,USA,"Charlie Kirk speaking appearance — Lincoln, Nebraska","Lincoln, Nebraska (venue not named on the following overview)",,campus,EVENT_DATE,Planes/following/overview.mdx chronological view; the same audit places the aircraft in Egypt that day,/Planes/following/overview,"EVENT DATE Aug 25, 2023, Lincoln NE. NEBRASKA is a clustering-claim state and later a SU-BTT / Duncan Aviation destination. The following overview's audit places the aircraft in Egypt on this date — so this is a Kirk location that does NOT pair with a US jet landing. Included so that negative is not lost.",site/docs/Planes/following/speaking/20230825_lincoln.mdx
2023-09-13 to 2023-09-15,Charlie,San Diego,CA,USA,TPUSA Faith Pastors Summit — San Diego (second 2023 summit),"Intercontinental, San Diego",,faith,EVENT_DATE,"ChurchLeaders 15 Sep 2023; MinistryWatch 14 Sep 2023 (1,200 pastors)",https://churchleaders.com/news/458865-charlie-kirk-tpusa-faith-excommunicate-wokeism.html,"EVENT DATES Sept 13-15, 2023. Second Pastors Summit of 2023. Kirk: 'If you love God, you must hate evil.' TPUSA covered rooms at the Intercontinental. Replaces the 2023-09-17 UNKNOWN-city podcast-proxy row.",site/docs/Planes/following/speaking/20230913_san_diego.mdx
2023-09-19,Charlie,Flagstaff,AZ,USA,Live Free Tour — Northern Arizona University (outdoor),Northern Arizona University (outdoor campus event),,campus,EVENT_DATE,@charliekirk11 8 Sep 2023 tour list,https://x.com/charliekirk11/status/1700172631818031354,"EVENT DATE Sept 19, 2023 from Kirk's own X list. Outdoor campus event.",site/docs/Planes/following/speaking/20230919_flagstaff.mdx
2023-09-27,Charlie,Tempe,AZ,USA,Live Free Tour — Arizona State University,Arizona State University,,campus,EVENT_DATE,@charliekirk11 8 Sep 2023 tour list,https://x.com/charliekirk11/status/1700172631818031354,"EVENT DATE Sept 27, 2023. Second sourced ASU stop in 2023 (after the Feb podcast-proxy appearance).",site/docs/Planes/following/speaking/20230927_tempe.mdx
2023-10-02,Charlie,San Jose,CA,USA,Live Free Tour — San Jose State University,San Jose State University,,campus,EVENT_DATE,TPUSA Fall 2023 Live Free press release; @charliekirk11 list,https://backend.tpusa.com/wp-content/uploads/2023/08/Press-Release-TPUSA-Tour-Fall-2023-Live-Free.pdf,"EVENT DATE Oct 2, 2023. Candace Owens also on this tour. Replaces the 2023-10-08 podcast-proxy SJSU row. @tpusaevents Instagram 17 Oct 2023 said SJSU, Albany, UCF and Georgia Tech each drew 750+.",site/docs/Planes/following/speaking/20231002_san_jose.mdx
2023-10-10,Charlie,Orlando,FL,USA,Live Free Tour — University of Central Florida,University of Central Florida,,campus,EVENT_DATE,TPUSA Fall 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/08/Press-Release-TPUSA-Tour-Fall-2023-Live-Free.pdf,"EVENT DATE Oct 10, 2023, three days after Oct 7. Replaces the 2023-10-20 podcast-proxy UCF row.",site/docs/Planes/following/speaking/20231010_orlando.mdx
2023-10-12,TPUSA,Atlanta,GA,USA,Live Free Tour — Georgia Tech (Candace Owens),Georgia Institute of Technology,,campus,EVENT_DATE,@TPUSA livestream 'with Candace Owens LIVE from Georgia Tech',https://x.com/TPUSA/status/1712594958191137207,"EVENT DATE Oct 12, 2023. Livestream names Candace Owens, not Kirk. Do not count as a Charlie campus hit.",site/docs/Planes/following/speaking/20231012_atlanta.mdx
2023-10-18,Charlie,San Antonio,TX,USA,Live Free Tour — UT San Antonio,University of Texas at San Antonio,,campus,EVENT_DATE,TPUSA Fall 2023 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2023/08/Press-Release-TPUSA-Tour-Fall-2023-Live-Free.pdf,"EVENT DATE Oct 18, 2023. Replaces the 2023-10-29 podcast-proxy UTSA row.",site/docs/Planes/following/speaking/20231018_san_antonio.mdx
2023-10-19,Charlie,Springfield,MO,USA,Live Free Tour — Missouri State University,"Plaster Student Union Theater, Missouri State University",evening,campus,EVENT_DATE,Springfield News-Leader; Kirk X max-capacity livestream,https://www.yahoo.com/news/articles/charlie-kirk-visited-springfield-2023-212515245.html,"EVENT DATE Oct 19, 2023. 1,400 registered; ~580 admitted. MISSOURI clustering-claim state. Replaces the 2023-11-05 podcast-proxy Springfield row.",site/docs/Planes/following/speaking/20231019_springfield.mdx
2023-10-25,TPUSA,Buffalo,NY,USA,Live Free Tour — University at Buffalo (Candace Owens),University at Buffalo,streamed ~18:26 ET,campus,EVENT_DATE,"Rumble 'LIVE from Buffalo, NY with Candace Owens'",https://rumble.com/v3robfh-tpusa-presents-the-live-free-tour-live-from-buffalo-ny-with-candace-owens.html,"EVENT DATE Oct 25, 2023. Stream names Candace Owens, not Kirk. Do not count as a Charlie campus hit.",site/docs/Planes/following/speaking/20231025_buffalo.mdx
2023-11-09,Charlie,Los Angeles,CA,USA,Live Free Tour — UCLA,UCLA,,campus,EVENT_DATE,TPUSA Fall 2023 Live Free press release; @charliekirk11,https://backend.tpusa.com/wp-content/uploads/2023/08/Press-Release-TPUSA-Tour-Fall-2023-Live-Free.pdf,"EVENT DATE Nov 9, 2023. Replaces the 2023-11-12 podcast-proxy UCLA row.",site/docs/Planes/following/speaking/20231109_los_angeles.mdx
2023-12-16 to 2023-12-19,Charlie,Phoenix,AZ,USA,AmericaFest 2023,Phoenix Convention Center,,summit,EVENT_DATE,Wikipedia AmericaFest; Arizona Republic photo gallery 18 Dec 2023,https://en.wikipedia.org/wiki/AmericaFest,"December 2023, Phoenix Convention Center. Exact start/end less tightly sourced than 2022/2024; AZ Republic gallery is dated Dec 18. Speakers included Glenn Beck, Roseanne Barr, Mike Lindell, Kimberly Guilfoyle, Tucker Carlson, Charlie Kirk. ~13,000 attendees claimed.",site/docs/Planes/following/speaking/20231216_phoenix.mdx
